Total Bed Capacity,ICU Availability,Number of Medical Specialties,Key Specialty Presence,CT or MRI available,Specialist Doctor Count,Emergency & Trauma Services,Teaching / Tertiary Status,Hospital Name,Has_Cardiac,Has_Multi-specialty,Has_General,Has_Neuro,Has_Cancer,Bed_to_Doctor_Ratio,Specialty_Density,Capacity_Score,Equipment_Score,Service_Score,Readiness_Score
589,1,29,"Cardiac, General, Multi-specialty, Neuro",1,139,1,1,Saint Southside Medical Complex,1,1,1,1,0,4.207142857142857,0.04915254237288136,0.7186666666666667,2,2,1.4089333333333334
293,1,20,"Cardiac, General, Multi-specialty, Neuro",1,52,1,1,Third Trauma Clinic,1,1,1,1,0,5.528301886792453,0.06802721088435375,0.324,2,2,1.2305333333333333
87,0,11,Cancer,1,11,0,0,Oakwood Mercy Healthcare Facility,0,0,0,0,1,7.25,0.125,0.04933333333333333,1,0,0.38813333333333333
54,0,6,"Cardiac, Neuro",0,9,1,0,Northview Grace Clinic,1,0,0,1,0,5.4,0.10909090909090909,0.005333333333333333,0,1,0.2416
239,1,13,"Cancer, Cardiac, Multi-specialty",0,24,1,0,White Oak Clinic,1,1,0,0,1,9.56,0.05416666666666667,0.252,1,1,0.6622666666666667
50,1,11,"Cancer, Cardiac, Neuro",0,10,0,0,Meadowview Hospital,1,0,0,1,1,4.545454545454546,0.21568627450980393,0.0,1,0,0.3733333333333333
343,1,18,"Cancer, General",0,38,1,0,Grace Highland Healthcare Facility,0,0,1,0,1,8.794871794871796,0.05232558139534884,0.39066666666666666,1,1,0.7372
138,1,29,"Cardiac, General, Multi-specialty, Neuro",1,28,1,1,Central Regional Health Center,1,1,1,1,0,4.758620689655173,0.20863309352517986,0.11733333333333333,2,2,1.2285333333333335
71,0,12,Cardiac,1,10,1,0,Sunrise Faith Healthcare Center,1,0,0,0,0,6.454545454545454,0.16666666666666666,0.028,1,1,0.5884
59,0,10,"Cardiac, Multi-specialty",1,10,1,0,Downtown Hope Medical Center,1,1,0,0,0,5.363636363636363,0.16666666666666666,0.012,1,1,0.5702666666666667
99,1,6,"Cancer, Cardiac, Multi-specialty",1,9,1,0,Greenfield Health Center,1,1,0,0,1,9.9,0.06,0.06533333333333333,2,1,0.8595999999999999
139,1,10,"Cardiac, Multi-specialty, Neuro",0,15,1,0,Brighton Healthcare Center,1,1,0,1,0,8.6875,0.07142857142857142,0.11866666666666667,1,1,0.6022666666666667
50,1,6,Neuro,1,9,0,0,Memorial Greenfield Clinic,0,0,0,1,0,5.0,0.11764705882352941,0.0,2,0,0.64
460,1,33,"Cancer, Cardiac, General, Multi-specialty",1,109,0,1,Third Faith Healthcare Center,1,1,1,0,1,4.181818181818182,0.07158351409978309,0.5466666666666666,2,1,1.184
160,1,20,"Cancer, Cardiac, Multi-specialty, Neuro",1,30,1,1,Southside Community Health System,1,1,0,1,1,5.161290322580645,0.12422360248447205,0.14666666666666667,2,2,1.1773333333333333
495,1,21,"Cancer, Cardiac, General, Multi-specialty, Neuro",1,98,1,1,Central Community Healthcare Center,1,1,1,1,1,5.0,0.04233870967741935,0.5933333333333334,2,2,1.3179999999999998
302,1,20,"Cancer, Cardiac, General, Multi-specialty, Neuro",1,50,1,0,Parkview Health Center,1,1,1,1,1,5.921568627450981,0.066006600660066,0.336,2,1,1.0341333333333333
150,1,11,"Cardiac, General, Multi-specialty",1,19,0,0,Ridgeview Hospital,1,1,1,0,0,7.5,0.0728476821192053,0.13333333333333333,2,0,0.7133333333333334
54,1,12,"Cancer, Multi-specialty",1,10,1,0,Hope Brighton Medical Facility,0,1,0,0,1,4.909090909090909,0.21818181818181817,0.005333333333333333,2,1,0.8816000000000002
224,1,20,"Cancer, General, Multi-specialty, Neuro",1,26,1,0,Primary Faith Hospital,0,1,1,1,1,8.296296296296296,0.08888888888888889,0.232,2,1,1.0029333333333332
102,1,21,"Cardiac, General, Multi-specialty, Neuro",1,17,1,1,Uptown Regional Healthcare Center,1,1,1,1,0,5.666666666666667,0.20388349514563106,0.06933333333333333,2,2,1.1607999999999998
106,0,5,"Cardiac, Neuro",1,9,1,0,Downtown Regional Medical Center,1,0,0,1,0,10.6,0.04672897196261682,0.07466666666666667,1,1,0.5557333333333333
456,1,29,"Cancer, Cardiac, General, Multi-specialty",1,70,1,0,Willow Creek Medical Complex,1,1,1,0,1,6.422535211267606,0.06345733041575492,0.5413333333333333,2,1,1.1557333333333333
105,0,6,"Cancer, Cardiac, Neuro",1,12,1,0,Greenfield Healthcare Center,1,0,0,1,1,8.076923076923077,0.05660377358490566,0.07333333333333333,1,1,0.562
300,1,10,"Cancer, Cardiac, General",1,29,1,0,Mercy Brookside Clinic,1,0,1,0,1,10.0,0.03322259136212625,0.3333333333333333,2,1,0.9666666666666666
238,1,13,General,1,28,0,0,Second Hope Medical Center,0,0,1,0,0,8.206896551724139,0.05439330543933055,0.25066666666666665,2,0,0.7618666666666667
357,1,16,"Cancer, Neuro",1,49,0,0,Southwest Faith Health Center,0,0,0,1,1,7.14,0.0446927374301676,0.4093333333333333,2,0,0.8294666666666667
329,1,18,"Cancer, General, Multi-specialty, Neuro",1,60,0,1,Bayview Regional Health System,0,1,1,1,1,5.39344262295082,0.05454545454545454,0.372,2,1,1.0316
184,1,28,"General, Multi-specialty, Neuro",1,40,0,1,Westend Healthcare Facility,0,1,1,1,0,4.487804878048781,0.15135135135135136,0.17866666666666667,2,1,1.0402666666666667
484,1,32,"Cancer, Cardiac, General, Multi-specialty",1,100,1,1,Springfield Hospital,1,1,1,0,1,4.792079207920792,0.06597938144329897,0.5786666666666667,2,2,1.3869333333333334
75,1,30,"Cancer, Cardiac, General, Multi-specialty, Neuro",1,14,1,1,Hope Stonebridge Healthcare Center,1,1,1,1,1,5.0,0.39473684210526316,0.03333333333333333,2,2,1.21
127,1,6,Cardiac,1,11,1,0,Central Grace Healthcare Center,1,0,0,0,0,10.583333333333334,0.046875,0.10266666666666667,2,1,0.8708
126,0,6,"Cancer, Cardiac",1,13,1,0,Greenwood Hope Medical Center,1,0,0,0,1,9.0,0.047244094488188976,0.10133333333333333,1,1,0.5704
139,1,5,"Cardiac, Multi-specialty, Neuro",1,16,1,0,Northview General Healthcare Facility,1,1,0,1,0,8.176470588235293,0.03571428571428571,0.11866666666666667,2,1,0.8689333333333332
518,1,24,"Cancer, Cardiac, Neuro",1,106,1,1,Eastend Health Center 1,1,0,0,1,1,4.841121495327103,0.046242774566473986,0.624,2,2,1.3472
321,1,19,"Cancer, Cardiac, General, Multi-specialty, Neuro",0,48,1,0,Eastend Medical Center,1,1,1,1,1,6.551020408163265,0.059006211180124224,0.36133333333333334,1,1,0.7350666666666668
64,1,5,Neuro,1,9,0,0,Grace Downtown Clinic,0,0,0,1,0,6.4,0.07692307692307693,0.018666666666666668,2,0,0.6389333333333334
521,1,23,"Cancer, Cardiac, General, Multi-specialty, Neuro",1,99,1,1,First Memorial Hospital,1,1,1,1,1,5.21,0.044061302681992334,0.628,2,2,1.3417333333333334
54,1,7,"Cancer, Multi-specialty, Neuro",1,9,1,0,Greenfield Saint Medical Center,0,1,0,1,1,5.4,0.12727272727272726,0.005333333333333333,2,1,0.8482666666666667
233,1,18,"Cancer, Cardiac, Multi-specialty",1,33,1,0,Brookside Faith Medical Facility,1,1,0,0,1,6.852941176470588,0.07692307692307693,0.244,2,1,0.9932
321,1,12,"Cardiac, General, Multi-specialty",0,39,0,0,Riverside Medical Complex,1,1,1,0,0,8.025,0.037267080745341616,0.36133333333333334,1,0,0.4884
648,1,22,"Cancer, Cardiac, General, Multi-specialty, Neuro",1,106,1,1,Central Hospital,1,1,1,1,1,6.05607476635514,0.03389830508474576,0.7973333333333333,2,2,1.3858666666666666
83,1,8,Cardiac,0,10,1,0,Grace Parkview Healthcare Facility,1,0,0,0,0,7.545454545454546,0.09523809523809523,0.044,1,1,0.5665333333333333
435,1,30,"Cancer, Cardiac, Multi-specialty, Neuro",1,93,1,1,First Hope Health Center,1,1,0,1,1,4.627659574468085,0.06880733944954129,0.5133333333333333,2,2,1.3539999999999999
393,0,14,"Cancer, General, Neuro",1,55,0,0,Northview Faith Clinic,0,0,1,1,1,7.017857142857143,0.03553299492385787,0.4573333333333333,1,0,0.5305333333333333
704,1,26,"Cancer, Cardiac, General, Multi-specialty, Neuro",1,143,1,1,Highland Unity Healthcare Facility,1,1,1,1,1,4.888888888888889,0.03687943262411347,0.872,2,2,1.4349333333333334
143,1,10,"Cardiac, Multi-specialty",1,14,1,0,Sunset Healthcare Center,1,1,0,0,0,9.533333333333333,0.06944444444444445,0.124,2,1,0.9038666666666666
372,1,18,"Cancer, Multi-specialty, Neuro",1,56,1,1,Lakeside Healthcare Facility 1,0,1,0,1,1,6.526315789473684,0.04825737265415549,0.42933333333333334,2,2,1.2488000000000001
144,0,11,"General, Multi-specialty",0,15,1,0,Saint Southside Hospital,0,1,1,0,0,9.0,0.07586206896551724,0.12533333333333332,0,1,0.31093333333333334
416,0,25,"Cancer, Cardiac, General, Multi-specialty, Neuro",1,61,1,0,Second Unity Healthcare Center,1,1,1,1,1,6.709677419354839,0.05995203836930456,0.488,1,1,0.8130666666666668
147,1,10,Neuro,1,15,1,0,Willow Creek Emergency Medical Complex,0,0,0,1,0,9.1875,0.06756756756756757,0.12933333333333333,2,1,0.9054666666666666
193,0,12,General,1,23,1,0,Ridgeview Mercy Health Center,0,0,1,0,0,8.041666666666666,0.061855670103092786,0.19066666666666668,1,1,0.6372
138,0,12,"Cardiac, General",1,14,1,0,Golden Gate Health Center,1,0,1,0,0,9.2,0.08633093525179857,0.11733333333333333,1,1,0.6152
110,1,9,"Cancer, Neuro",1,13,1,0,Highland Medical Facility,0,0,0,1,1,7.857142857142857,0.08108108108108109,0.08,2,1,0.8840000000000001
581,1,35,"Cancer, Cardiac, General, Multi-specialty, Neuro",1,115,1,0,Hope Meadowview Medical Complex,1,1,1,1,1,5.008620689655173,0.06013745704467354,0.708,2,1,1.2457333333333334
111,0,7,"Cancer, Multi-specialty",1,11,1,0,Main Trauma Medical Facility,0,1,0,0,1,9.25,0.0625,0.08133333333333333,1,1,0.5710666666666666
384,1,13,General,1,47,1,0,Uptown Unity Healthcare Center,0,0,1,0,0,8.0,0.033766233766233764,0.44533333333333336,2,1,1.0202666666666667
123,0,10,"Cardiac, Neuro",1,13,0,0,Brookside General Health Center,1,0,0,1,0,8.785714285714286,0.08064516129032258,0.09733333333333333,1,0,0.39586666666666664
741,1,23,"Cancer, Cardiac, General, Neuro",1,133,0,0,Blackstone Health System,1,0,1,1,1,5.529850746268656,0.03099730458221024,0.9213333333333333,2,0,1.0297333333333334
59,0,9,General,0,9,0,0,Fairview Health Center,0,0,1,0,0,5.9,0.15,0.012,0,0,0.0636
430,1,31,"Cancer, General, Multi-specialty",1,107,0,1,Saint Downtown Healthcare Facility,0,1,1,0,1,3.9814814814814814,0.07192575406032482,0.5066666666666667,2,1,1.1586666666666667
209,0,17,"Cancer, Cardiac, General, Neuro",1,29,1,0,Central Faith Health System,1,0,1,1,1,6.966666666666667,0.08095238095238096,0.212,1,1,0.6769333333333334
140,1,5,Cancer,1,14,1,0,Meadowview Community Healthcare Center,0,0,0,0,1,9.333333333333334,0.03546099290780142,0.12,2,1,0.8693333333333334
750,1,26,"Cardiac, General, Multi-specialty, Neuro",1,163,1,1,Highland Regional Medical Facility,1,1,1,1,0,4.573170731707317,0.03462050599201065,0.9333333333333333,2,2,1.4533333333333331
80,1,10,"Cardiac, General",0,10,1,0,Cedar Heights Medical Facility,1,0,1,0,0,7.2727272727272725,0.12345679012345678,0.04,1,1,0.5786666666666667
429,1,23,"Cancer, Cardiac, Multi-specialty, Neuro",1,74,1,1,Silverlake Clinic,1,1,0,1,1,5.72,0.053488372093023255,0.5053333333333333,2,2,1.3049333333333333
55,1,9,Cancer,1,9,1,0,Grace Greenwood Medical Facility,0,0,0,0,1,5.5,0.16071428571428573,0.006666666666666667,2,1,0.8620000000000001
98,0,7,Cancer,1,10,1,0,Central Healthcare Medical Center,0,0,0,0,1,8.909090909090908,0.0707070707070707,0.064,1,1,0.5658666666666666
117,0,9,General,1,12,1,0,Meadowview Trauma Health Center,0,0,1,0,0,9.0,0.07627118644067797,0.08933333333333333,1,1,0.5868
481,1,25,"Cancer, Cardiac, Multi-specialty, Neuro",1,83,1,0,Eastend Faith Medical Facility,1,1,0,1,1,5.726190476190476,0.05186721991701245,0.5746666666666667,2,1,1.1390666666666667
130,1,7,Multi-specialty,1,14,1,0,Silverlake Healthcare Center,0,1,0,0,0,8.666666666666666,0.05343511450381679,0.10666666666666667,2,1,0.8786666666666667
144,1,9,"Cancer, General, Neuro",1,18,1,0,Harborview Medical Facility,0,0,1,1,1,7.578947368421052,0.06206896551724138,0.12533333333333332,2,1,0.8976
74,1,9,"Cancer, Multi-specialty",1,9,1,0,Mercy Uptown Health System,0,1,0,0,1,7.4,0.12,0.032,2,1,0.8696000000000002
286,1,17,"Multi-specialty, Neuro",1,41,1,0,First Grace Healthcare Center,0,1,0,1,0,6.809523809523809,0.059233449477351915,0.31466666666666665,2,1,1.0077333333333334
461,1,21,"Cardiac, General, Multi-specialty, Neuro",1,81,1,1,Willow Creek Regional Healthcare Facility,1,1,1,1,0,5.621951219512195,0.045454545454545456,0.548,2,2,1.3044
206,1,20,"Cancer, General, Multi-specialty, Neuro",1,34,1,0,Westside Faith Medical Complex,0,1,1,1,1,5.885714285714286,0.0966183574879227,0.208,2,1,0.9957333333333334
733,1,26,"Cancer, Cardiac, General, Multi-specialty, Neuro",1,117,1,0,Uptown Health Center,1,1,1,1,1,6.211864406779661,0.035422343324250684,0.9106666666666666,2,1,1.2465333333333333
64,0,7,Multi-specialty,1,9,1,0,Northview Medical Complex,0,1,0,0,0,6.4,0.1076923076923077,0.018666666666666668,1,1,0.5522666666666667
200,1,17,"Cardiac, Neuro",1,26,1,0,Memorial Brookside Medical Facility,1,0,0,1,0,7.407407407407407,0.0845771144278607,0.2,2,1,0.9733333333333332
69,1,11,"Cancer, Cardiac, General",1,10,1,0,Central Grace Medical Facility,1,0,1,0,1,6.2727272727272725,0.15714285714285714,0.025333333333333333,2,1,0.8809333333333335
354,1,29,"Cancer, Cardiac, General, Multi-specialty",1,84,1,1,Regional Regional Medical Complex,1,1,1,0,1,4.1647058823529415,0.08169014084507042,0.4053333333333333,2,2,1.3149333333333333
53,0,9,"Cancer, Cardiac, Multi-specialty",0,9,1,0,Metro Emergency Medical Facility,1,1,0,0,1,5.3,0.16666666666666666,0.004,0,1,0.2612
78,0,5,Neuro,0,9,1,0,Uptown Medical Complex,0,0,0,1,0,7.8,0.06329113924050633,0.037333333333333336,0,1,0.24453333333333332
122,0,6,"Cancer, Cardiac, General",1,13,1,0,Eastend Medical Center 1,1,0,1,0,1,8.714285714285714,0.04878048780487805,0.096,1,1,0.5688
246,1,19,"Cancer, General, Multi-specialty, Neuro",1,28,1,0,Memorial Brighton Clinic,0,1,1,1,1,8.482758620689655,0.07692307692307693,0.2613333333333333,2,1,1.0050666666666668
583,1,35,"Cancer, Cardiac, General, Multi-specialty, Neuro",1,106,1,1,Second General Clinic,1,1,1,1,1,5.4485981308411215,0.059931506849315065,0.7106666666666667,2,2,1.4465333333333334
120,0,8,General,1,14,0,0,Northside Trauma Health Center,0,0,1,0,0,8.0,0.06611570247933884,0.09333333333333334,1,0,0.38133333333333336
386,1,20,"Cancer, Cardiac, General, Multi-specialty, Neuro",1,46,1,0,Central Unity Hospital,1,1,1,1,1,8.212765957446809,0.05167958656330749,0.448,2,1,1.0677333333333332
298,1,25,"Cancer, General, Multi-specialty",1,58,1,1,Oakwood Health Center,0,1,1,0,1,5.0508474576271185,0.08361204013377926,0.33066666666666666,2,2,1.2658666666666667
82,1,10,Cancer,1,10,1,0,Highland Medical Complex,0,0,0,0,1,7.454545454545454,0.12048192771084337,0.042666666666666665,2,1,0.8794666666666666
146,0,10,"Cardiac, General, Neuro",1,17,1,0,Mercy Southside Health Center,1,0,1,1,0,8.11111111111111,0.06802721088435375,0.128,1,1,0.6050666666666666
653,1,23,"Cancer, General, Multi-specialty, Neuro",1,104,1,1,Central Healthcare Health Center,0,1,1,1,1,6.219047619047619,0.035168195718654434,0.804,2,2,1.3945333333333334
70,1,12,Cancer,0,10,1,0,Maple Grove Grace Medical Complex,0,0,0,0,1,6.363636363636363,0.16901408450704225,0.02666666666666667,1,1,0.5880000000000001
635,1,24,"Cancer, Cardiac, General, Multi-specialty, Neuro",1,96,1,0,Eastend General Hospital,1,1,1,1,1,6.546391752577319,0.03773584905660377,0.78,2,1,1.194
144,0,9,"Cardiac, Multi-specialty",1,13,1,0,Blue Ridge Healthcare Facility,1,1,0,0,0,10.285714285714286,0.06206896551724138,0.12533333333333332,1,1,0.5976000000000001
152,1,18,"Cancer, Cardiac, Multi-specialty",1,24,1,0,Central Clinic,1,1,0,0,1,6.08,0.11764705882352941,0.136,2,1,0.9608
386,1,13,"Cancer, Multi-specialty, Neuro",1,56,0,0,Grace Southside Medical Center,0,1,0,1,1,6.771929824561403,0.03359173126614987,0.448,2,0,0.8210666666666666
353,1,16,"Cancer, Cardiac",1,51,1,0,Main General Hospital,1,0,0,0,1,6.788461538461538,0.04519774011299435,0.404,2,1,1.0278666666666667
130,1,11,Multi-specialty,1,13,0,0,Northside Mercy Medical Center,0,1,0,0,0,9.285714285714286,0.08396946564885496,0.10666666666666667,2,0,0.7053333333333334
92,0,8,"Cancer, Cardiac, Multi-specialty",1,9,1,0,Fairview Community Health Center,1,1,0,0,1,9.2,0.08602150537634409,0.056,1,1,0.5701333333333333
86,1,12,Cardiac,1,12,1,0,Coastal Clinic,1,0,0,0,0,6.615384615384615,0.13793103448275862,0.048,2,1,0.8944000000000001
353,1,10,"General, Multi-specialty",1,41,1,0,Ridgeview Health Center,0,1,1,0,0,8.404761904761905,0.02824858757062147,0.404,2,1,0.9878666666666667
58,1,6,Multi-specialty,0,9,0,0,Grace Sunset Healthcare Facility,0,1,0,0,0,5.8,0.1016949152542373,0.010666666666666666,1,0,0.34319999999999995
148,1,30,"Cancer, Cardiac, General, Multi-specialty, Neuro",1,35,1,1,Fourth Saint Healthcare Center,1,1,1,1,1,4.111111111111111,0.20134228187919462,0.13066666666666665,2,2,1.2392
141,0,8,"Cancer, Multi-specialty, Neuro",0,16,1,0,Greenwood Memorial Medical Facility,0,1,0,1,1,8.294117647058824,0.056338028169014086,0.12133333333333333,0,1,0.28973333333333334
83,1,18,"Cancer, General, Multi-specialty, Neuro",1,12,1,1,Downtown General Health System,0,1,1,1,1,6.384615384615385,0.21428571428571427,0.044,2,2,1.1332
695,1,20,"Cancer, Cardiac, Multi-specialty, Neuro",1,88,1,0,Springfield Clinic,1,1,0,1,1,7.808988764044944,0.028735632183908046,0.86,2,1,1.1913333333333334
91,0,9,"Cancer, Neuro",1,9,1,0,Southside Healthcare Facility,0,0,0,1,1,9.1,0.09782608695652174,0.05466666666666667,1,1,0.5764
639,1,35,"Cancer, Cardiac, General, Multi-specialty, Neuro",1,115,1,1,Saint Downtown Health System,1,1,1,1,1,5.508620689655173,0.0546875,0.7853333333333333,2,2,1.4689333333333332
66,0,8,"Cancer, Cardiac, Multi-specialty",1,9,0,0,First Regional Medical Facility,1,1,0,0,1,6.6,0.11940298507462686,0.021333333333333333,1,0,0.35973333333333335
128,1,6,"Cancer, Multi-specialty",0,11,1,0,Meadowview Faith Clinic,0,1,0,0,1,10.666666666666666,0.046511627906976744,0.104,1,1,0.5712
662,1,34,"Cancer, General, Multi-specialty, Neuro",1,119,1,1,Stonebridge Memorial Health Center,0,1,1,1,1,5.516666666666667,0.05128205128205128,0.816,2,2,1.4714666666666667
53,1,8,Cancer,0,9,1,0,Downtown Hospital,0,0,0,0,1,5.3,0.14814814814814814,0.004,1,1,0.5545333333333333
80,0,10,"Cardiac, Multi-specialty",1,10,1,0,Greenwood Health System,1,1,0,0,0,7.2727272727272725,0.12345679012345678,0.04,1,1,0.5786666666666667
109,1,6,"General, Multi-specialty, Neuro",1,11,1,0,Mercy Oakwood Health System,0,1,1,1,0,9.083333333333334,0.05454545454545454,0.07866666666666666,2,1,0.8635999999999999
168,1,30,"Cancer, Cardiac, Multi-specialty, Neuro",1,39,1,1,Fifth Medical Healthcare Facility,1,1,0,1,1,4.2,0.17751479289940827,0.15733333333333333,2,2,1.2472
187,1,15,"Cancer, Cardiac, General, Multi-specialty",1,24,1,0,Stonebridge Trauma Healthcare Center,1,1,1,0,1,7.48,0.0797872340425532,0.18266666666666667,2,1,0.9548
274,1,15,"Cardiac, General, Neuro",1,34,1,0,Ridgeview Regional Health System,1,0,1,1,0,7.828571428571428,0.05454545454545454,0.2986666666666667,2,1,0.9895999999999999
119,0,6,"General, Multi-specialty",1,12,1,0,Elm Street Health Center,0,1,1,0,0,9.153846153846153,0.05,0.092,1,1,0.5676000000000001
149,1,5,"Cardiac, Multi-specialty",1,16,1,0,Sunset Medical Complex,1,1,0,0,0,8.764705882352942,0.03333333333333333,0.132,2,1,0.8729333333333332
66,0,11,Neuro,1,10,1,0,Memorial Northview Healthcare Facility,0,0,0,1,0,6.0,0.16417910447761194,0.021333333333333333,1,1,0.5797333333333333
59,1,7,"Cancer, General",0,9,1,0,Primary Community Health Center,0,0,1,0,1,5.9,0.11666666666666667,0.012,1,1,0.5502666666666667
451,1,35,"Cancer, Cardiac, General, Multi-specialty, Neuro",1,96,1,1,Northview Trauma Health Center,1,1,1,1,1,4.649484536082475,0.07743362831858407,0.5346666666666666,2,2,1.3937333333333335
212,0,19,"Cancer, Neuro",1,24,1,0,Metro Unity Healthcare Facility,0,0,0,1,1,8.48,0.0892018779342723,0.216,1,1,0.6914666666666667
202,1,26,"Cancer, General, Multi-specialty, Neuro",1,43,1,1,Mountain View Healthcare Center,0,1,1,1,1,4.590909090909091,0.12807881773399016,0.20266666666666666,2,2,1.2341333333333333
564,1,25,"Cancer, General, Multi-specialty, Neuro",1,107,0,1,Riverside Healthcare Facility,0,1,1,1,1,5.222222222222222,0.04424778761061947,0.6853333333333333,2,1,1.1722666666666668
104,1,9,"General, Multi-specialty, Neuro",1,12,1,0,Grace Harborview Medical Complex,0,1,1,1,0,8.0,0.08571428571428572,0.072,2,1,0.8815999999999999
90,1,5,General,1,9,0,0,Primary Trauma Medical Facility,0,0,1,0,0,9.0,0.054945054945054944,0.05333333333333334,2,0,0.6493333333333333
64,0,5,General,0,9,1,0,Greenfield General Healthcare Facility,0,0,1,0,0,6.4,0.07692307692307693,0.018666666666666668,0,1,0.23893333333333333
104,1,28,"Cancer, Cardiac, Multi-specialty",1,16,1,1,Silverlake Community Healthcare Facility,1,1,0,0,1,6.117647058823529,0.26666666666666666,0.072,2,2,1.2082666666666666
708,1,26,"Cancer, Cardiac, General, Multi-specialty, Neuro",1,128,1,1,Riverside Clinic,1,1,1,1,1,5.488372093023256,0.036671368124118475,0.8773333333333333,2,2,1.4365333333333332
187,0,17,"Cancer, Cardiac, General, Multi-specialty, Neuro",1,26,0,0,Hillcrest Medical Complex,1,1,1,1,1,6.925925925925926,0.09042553191489362,0.18266666666666667,1,0,0.46813333333333335
653,1,26,"Cancer, Cardiac, General, Multi-specialty, Neuro",1,88,1,0,Mercy Highland Medical Complex,1,1,1,1,1,7.337078651685394,0.039755351681957186,0.804,2,1,1.2145333333333332
235,1,11,"Cancer, Cardiac, General",0,28,1,0,Primary Medical Hospital,1,0,1,0,1,8.10344827586207,0.046610169491525424,0.24666666666666667,1,1,0.6473333333333334
136,1,7,"Cardiac, General, Multi-specialty",1,12,1,0,Northview Community Hospital,1,1,1,0,0,10.461538461538462,0.051094890510948905,0.11466666666666667,2,1,0.8810666666666667
